iter	Passed	Remaining
0	1	134
1	2	128
2	4	130
3	4	119
4	6	118
5	7	117
6	8	117
7	10	115
8	11	114
9	12	112
10	13	111
11	14	109
12	16	107
13	17	106
14	18	106
15	19	104
16	21	103
17	22	102
18	23	101
19	25	101
20	26	100
21	27	98
22	29	97
23	30	96
24	31	95
25	32	93
26	34	92
27	35	91
28	36	89
29	38	89
30	39	88
31	41	87
32	42	86
33	43	85
34	45	83
35	46	82
36	47	81
37	48	79
38	50	78
39	51	76
40	52	75
41	53	73
42	54	71
43	55	70
44	56	69
45	58	68
46	59	67
47	60	65
48	62	64
49	63	63
50	64	62
51	65	60
52	66	59
53	68	58
54	68	56
55	70	55
56	71	53
57	72	52
58	73	51
59	75	50
60	77	49
61	78	48
62	79	46
63	80	45
64	82	44
65	83	43
66	85	41
67	86	40
68	87	39
69	88	38
70	90	36
71	91	35
72	92	34
73	93	33
74	95	31
75	96	30
76	97	29
77	98	27
78	100	26
79	101	25
80	102	24
81	103	22
82	104	21
83	105	20
84	107	18
85	108	17
86	109	16
87	110	15
88	111	13
89	112	12
90	113	11
91	115	10
92	116	8
93	117	7
94	118	6
95	119	4
96	120	3
97	122	2
98	123	1
99	124	0
